CRIPTOATIVO;MÊS/ANO;Nº DE OPERAÇÕES;VALOR TOTAL DAS OPERAÇÕES;VALOR MÉDIO POR OPERAÇÃO
BCH;Dezembro de 2023;152.576;20.415.649,15;133,81
BCH;Janeiro de 2024;23.614;9.244.665,90;391,49
BCH;Fevereiro de 2024;94.667;19.515.021,47;206,14
BCH;Março de 2024;267.204;131.750.467,22;493,07
BCH;Abril de 2024;204.227;128.716.195,87;630,26
BCH;Maio de 2024;112.206;42.848.308,81;381,87
BCH;Junho de 2024;88.310;28.552.332,02;323,32
BCH;Julho de 2024;124.037;42.380.060,62;341,67
BCH;Agosto de 2024;104.360;31.968.436,42;306,33
BCH;Setembro de 2024;85.012;24.423.997,79;287,30
BCH;Outubro de 2024;116.684;38.230.454,57;327,64
BCH;Novembro de 2024;285.126;174.741.317,21;612,86
BNB;Agosto de 2019;1;100,21;100,21
BNB;Setembro de 2019;18;8.131,09;451,73
BNB;Outubro de 2019;10;5.161,74;516,17
BNB;Novembro de 2019;26;64.010,74;2.461,95
BNB;Dezembro de 2019;188;1.648,06;8,77
BNB;Janeiro de 2020;1.976;326.976,84;165,47
BNB;Fevereiro de 2020;3.990;1.497.228,01;375,25
BNB;Março de 2020;1.139;622.838,63;546,83
BNB;Abril de 2020;1.210;871.098,17;719,92
BNB;Maio de 2020;1.467;829.162,11;565,21
BNB;Junho de 2020;699;323.603,14;462,95
BNB;Julho de 2020;1.513;686.854,16;453,97
BNB;Agosto de 2020;2.496;1.433.026,82;574,13
BNB;Setembro de 2020;2.713;2.263.305,40;834,24
BNB;Outubro de 2020;4.755;1.312.853,35;276,10
BNB;Novembro de 2020;3.096;1.118.140,84;361,16
BNB;Dezembro de 2020;2.227;1.087.823,93;488,47
BNB;Janeiro de 2021;5.694;2.660.675,61;467,28
BNB;Fevereiro de 2021;54.561;83.817.887,54;1.536,22
BNB;Março de 2021;26.031;44.788.154,06;1.720,57
BNB;Abril de 2021;49.286;78.828.970,68;1.599,42
BNB;Maio de 2021;31.529;42.664.093,79;1.353,17
BNB;Junho de 2021;16.716;15.263.727,54;913,12
BNB;Julho de 2021;18.298;9.026.278,78;493,29
BNB;Agosto de 2021;19.316;16.948.675,68;877,44
